EXCHANGE%3DNYSE,,,,,
MARKET_OPEN_MINUTE=570,,,,,
MARKET_CLOSE_MINUTE=960,,,,,
INTERVAL=300,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=,,,,,
TIMEZONE_OFFSET=-240,,,,,
a1469539800,162.65,162.65,162.65,162.65,100
1,162.61,162.96,162.35,162.74,89604
2,162.81,162.99,162.58,162.68,27964
3,163.12,163.38,162.72,162.79,212656
4,163.4149,163.6,162.95,163.27,58521
5,163.37,163.55,163.31,163.46,61384
6,163.32,163.36,163.2,163.35,41683
7,163.1,163.4,163.02,163.34,39113
8,162.965,163.18,162.92,163.14,30256
9,162.71,163.02,162.71,162.98,39690
10,162.63,162.73,162.62,162.71,21466
11,162.74,162.74,162.59,162.67,20503
12,162.68,162.775,162.645,162.73,14701
13,162.51,162.749,162.47,162.661,14756
14,162.51,162.55,162.46,162.52,14634
15,162.38,162.58,162.29,162.5,19998
16,162.191,162.47,162.19,162.3875,32969
17,161.71,162.23,161.661,162.19,58658
18,161.57,161.965,161.54,161.77,54588
19,161.96,161.9899,161.49,161.54,26025
20,161.9,162.02,161.82,161.93,25576
21,161.96,161.97,161.781,161.88,16656
22,161.9,162.03,161.86,161.95,32014
23,161.91,161.98,161.81,161.89,17064
24,161.92,161.959,161.81,161.94,12494
25,161.856,161.97,161.8,161.93,13114
26,161.86,161.98,161.82,161.8364,19585
27,161.85,161.93,161.81,161.86,11842
28,161.786,161.85,161.77,161.83,11289
29,161.97,162.01,161.8,161.8,41738
30,161.95,162.01,161.91,161.95,34712
31,161.946,161.99,161.89,161.98,15189
32,161.955,161.99,161.91,161.95,12347
33,161.92,161.96,161.89,161.96,9307
34,161.93,161.98,161.91,161.92,15048
35,161.94,162,161.91,161.94,59992
36,161.94,161.9932,161.93,161.95,20511
37,161.94,161.98,161.9,161.94,18619
38,161.93,161.97,161.91,161.92,15524
39,161.93,161.95,161.9,161.9278,12402
40,161.9315,161.96,161.91,161.93,18264
41,161.92,161.94,161.9,161.94,14296
42,161.905,161.94,161.89,161.92,7488
43,161.83,161.9299,161.81,161.92,23731
44,161.88,161.91,161.83,161.83,15463
45,161.86,161.895,161.83,161.8745,12276
46,161.82,161.89,161.82,161.87,8065
47,161.57,161.85,161.55,161.83,27054
48,161.585,161.585,161.4831,161.58,26897
49,161.54,161.62,161.5,161.6,11366
50,161.55,161.61,161.51,161.53,14337
51,161.58,161.62,161.54,161.57,7456
52,161.6,161.6035,161.52,161.58,19483
53,161.6,161.635,161.545,161.605,16372
54,161.6,161.64,161.54,161.55,18530
55,161.66,161.7296,161.59,161.59,12132
56,161.53,161.69,161.52,161.67,10123
57,161.4,161.53,161.37,161.53,25817
58,161.405,161.44,161.38,161.38,16173
59,161.56,161.59,161.37,161.42,14553
60,161.61,161.72,161.53,161.531,31679
61,161.66,161.73,161.61,161.63,8491
62,161.72,161.77,161.65,161.65,12306
63,161.79,161.83,161.71,161.71,13496
64,161.69,161.82,161.685,161.8,14034
65,161.7,161.7,161.62,161.67,10561
66,161.445,161.71,161.445,161.71,28719
67,161.68,161.71,161.445,161.445,12198
68,161.75,161.79,161.62,161.71,14197
69,161.67,161.75,161.67,161.75,13108
70,161.665,161.72,161.63,161.67,11576
71,161.71,161.74,161.59,161.63,19531
72,161.8,161.8036,161.7,161.71,15532
73,161.84,161.85,161.7549,161.8,32128
74,161.85,161.9,161.81,161.85,32493
75,161.795,161.85,161.77,161.84,43439
76,161.76,161.82,161.72,161.8,46401
77,161.71,161.755,161.63,161.755,58933
78,162.12,162.12,161.69,161.72,272329
288,162.12,162.12,162.12,162.12,100
289,162.33,162.42,162.1,162.3,88690
290,162.42,162.57,162.18,162.34,33512
291,161.64,162.33,161.61,162.33,45014
292,161.46,161.845,161.34,161.72,86575
293,161.77,161.85,161.35,161.425,43979
294,161.72,161.8099,161.66,161.75,16693
295,161.81,161.83,161.64,161.75,32271
296,161.98,161.98,161.81,161.81,17724
297,161.93,162.12,161.84,161.99,31992
298,161.89,161.95,161.76,161.92,26015
299,161.83,161.87,161.6625,161.87,21316
300,161.84,161.87,161.71,161.8,14866
301,161.5871,161.85,161.562,161.82,25021
302,161.63,161.73,161.5808,161.5808,14507
303,161.29,161.6171,161.28,161.61,38756
304,161.395,161.42,161.28,161.28,12353
305,161.4298,161.52,161.345,161.37,12187
306,161.43,161.44,161.352,161.43,12367
307,161.415,161.46,161.35,161.42,10256
308,161.4,161.41,161.33,161.41,22396
309,161.34,161.47,161.34,161.37,12060
310,161.351,161.45,161.31,161.34,11661
311,161.45,161.51,161.32,161.3549,13549
312,161.53,161.53,161.39,161.47,19388
313,161.45,161.515,161.3335,161.5,13437
314,161.326,161.481,161.32,161.48,10842
315,161.35,161.38,161.3,161.35,8754
316,161.47,161.47,161.31,161.34,9858
317,161.4192,161.47,161.37,161.47,8974
318,161.35,161.44,161.29,161.43,9742
319,161.43,161.489,161.31,161.33,7938
320,161.39,161.44,161.34,161.43,13501
321,161.22,161.37,161.1974,161.37,23989
322,161.44,161.44,161.18,161.2,19636
323,161.33,161.44,161.28,161.395,4824
324,161.45,161.45,161.27,161.3,7787
325,161.45,161.46,161.37,161.44,14060
326,161.502,161.55,161.39,161.455,13310
327,161.54,161.58,161.51,161.53,6709
328,161.52,161.58,161.49,161.55,5006
329,161.53,161.6,161.49,161.52,7290
330,161.55,161.59,161.51,161.548,9813
331,161.57,161.59,161.52,161.56,7718
332,161.51,161.567,161.49,161.56,5631
333,161.46,161.52,161.4296,161.52,9511
334,161.48,161.5,161.44,161.47,9433
335,161.54,161.54,161.44,161.48,10341
336,161.53,161.63,161.5,161.55,7923
337,161.57,161.58,161.5,161.53,6429
338,161.61,161.67,161.59,161.59,5172
339,161.69,161.69,161.58,161.6,10367
340,161.76,161.83,161.6601,161.673,11629
341,161.63,161.77,161.59,161.77,18483
342,161.68,161.77,161.56,161.621,14152
343,161.62,161.88,161.3,161.71,56371
344,161.65,161.85,161.57,161.57,17993
345,161.7,161.9,161.64,161.7199,28618
346,162.07,162.22,161.71,161.71,24280
347,162.32,162.36,162.11,162.11,23818
348,162.19,162.34,162.16,162.34,21561
349,162.185,162.21,162.11,162.16,17982
350,162.1531,162.28,162.05,162.19,19589
351,162.12,162.22,162.06,162.2,19614
352,162.16,162.21,162.1,162.1235,14424
353,162.14,162.19,162.08,162.13,11546
354,162.13,162.18,162.09,162.15,12209
355,162.28,162.29,162.13,162.13,16311
356,162.23,162.37,162.2,162.29,13276
357,162.25,162.34,162.2,162.23,19499
358,162.25,162.4,162.25,162.27,18398
359,162.235,162.25,162.14,162.25,13383
360,162.12,162.229,162.07,162.22,15738
361,162.19,162.21,162.09,162.12,20550
362,162.2,162.26,162.16,162.17,24686
363,162.08,162.27,162.08,162.18,29948
364,161.81,162.1,161.81,162.09,28431
365,161.86,161.97,161.78,161.8,38049
366,161.87,161.92,161.75,161.85,119774
577,161.01,161.8,160.88,161.38,66097
578,161.23,161.289,161.03,161.07,26945
579,161.41,161.48,161.01,161.23,21950
580,161.275,161.42,161.22,161.41,23843
581,161.6099,161.61,161.25,161.275,17544
582,161.59,161.63,161.49,161.59,17761
583,161.47,161.75,161.46,161.62,26317
584,161.45,161.6,161.31,161.44,14888
585,160.99,161.46,160.98,161.46,15527
586,161.1,161.11,160.9,161,15180
587,161.16,161.24,160.92,161.1,18220
588,161.17,161.22,161.1,161.17,15480
589,161.199,161.24,161.04,161.19,19283
590,160.89,161.18,160.89,161.16,17469
591,160.9068,161,160.877,160.92,17913
592,160.89,160.97,160.8,160.92,19047
593,160.87,160.96,160.83,160.8875,16803
594,160.87,160.99,160.71,160.8743,22280
595,160.91,160.99,160.85,160.9,12355
596,160.79,160.94,160.77,160.9001,15835
597,160.935,160.97,160.77,160.79,21188
598,160.96,160.99,160.88,160.92,15118
599,160.98,161.03,160.89,160.93,13779
600,160.95,161.01,160.92,160.99,9864
601,160.76,161.02,160.76,160.96,8426
602,160.86,160.87,160.77,160.79,8799
603,160.895,160.91,160.79,160.855,8515
604,161.02,161.07,160.89,160.91,9461
605,161.1225,161.1225,161.01,161.02,12894
606,161.09,161.17,161.09,161.145,7888
607,161.09,161.14,161.03,161.07,15250
