Date / Time,RY,TD,BNS,CNI,SU,BCE,BMO,ENB,TRP,CNQ,BAM,CM,MFC,ABX,SLF,TU,CP,GG,RCI,MGA,POT,FNV,TRI,AGU,AEM,CVE,PBA,GIB,SLW,QSR,IMO,CPG,SJR,GIL,ECA,VRX,TCK,KGC,AUY,CCJ,EGO,BBRY
07-19-2016 11:05:01,61.29,43.33,50.31,62.57,27.57,47.86,65.02,41.77,46.54,31.87,34.95,75.60,13.67,21.51,32.82,33.05,144.12,19.09,41.12,38.12,17.31,75.79,43.30,94.92,55.66,14.37,29.62,44.22,26.29,43.38,41.62,15.34,19.37,31.31,7.80,23.27,13.81,5.40,5.86,10.59,4.82,6.69,
07-19-2016 11:10:01,61.23,43.31,50.28,62.42,27.55,47.81,64.98,41.75,46.50,31.80,34.92,75.51,13.68,21.44,32.79,33.02,144.12,19.05,41.07,38.05,17.24,75.75,43.27,94.84,55.63,14.37,29.64,44.21,26.26,43.40,41.60,15.33,19.37,31.33,7.79,23.25,13.80,5.39,5.86,10.59,4.80,6.68,
07-19-2016 11:15:02,61.19,43.32,50.22,62.38,27.53,47.80,64.91,41.71,46.46,31.77,34.90,75.43,13.66,21.47,32.74,32.99,144.10,19.09,41.05,37.98,17.22,75.92,43.21,94.70,55.71,14.35,29.56,44.19,26.34,43.51,41.58,15.31,19.38,31.32,7.80,23.26,13.79,5.38,5.87,10.58,4.81,6.68,
07-19-2016 11:20:01,61.24,43.34,50.22,62.45,27.52,47.82,64.92,41.77,46.55,31.74,34.87,75.39,13.66,21.46,32.82,33.03,144.02,19.08,41.06,37.99,17.27,75.85,43.25,94.59,55.73,14.35,29.54,44.21,26.37,43.54,41.61,15.31,19.40,31.35,7.80,23.21,13.76,5.38,5.88,10.58,4.80,6.69,
07-19-2016 11:25:01,61.21,43.33,50.21,62.41,27.50,47.85,64.92,41.82,46.57,31.73,34.89,75.38,13.66,21.44,32.82,33.03,144.02,19.04,41.08,37.93,17.21,75.64,43.25,94.33,55.66,14.36,29.59,44.21,26.34,43.53,41.61,15.31,19.42,31.39,7.79,23.22,13.69,5.37,5.88,10.56,4.78,6.66,
07-19-2016 11:30:01,61.23,43.32,50.21,62.39,27.50,47.85,64.96,41.75,46.63,31.72,34.83,75.35,13.64,21.45,32.80,33.00,143.95,19.05,41.10,37.93,17.20,75.65,43.24,94.41,55.67,14.38,29.58,44.28,26.36,43.54,41.61,15.31,19.40,31.38,7.80,23.21,13.66,5.38,5.87,10.57,4.77,6.62,
07-19-2016 11:35:01,61.27,43.35,50.23,62.39,27.50,47.87,64.99,41.78,46.64,31.79,34.84,75.45,13.66,21.46,32.83,33.04,144.12,19.06,41.11,37.95,17.20,75.58,43.26,94.30,55.68,14.42,29.60,44.28,26.39,43.46,41.57,15.32,19.41,31.37,7.82,23.24,13.74,5.36,5.88,10.58,4.78,6.62,
07-19-2016 11:40:01,61.21,43.35,50.22,62.41,27.49,47.87,64.96,41.78,46.65,31.79,34.84,75.42,13.65,21.49,32.83,33.06,143.95,19.08,41.08,37.93,17.20,75.52,43.24,94.19,55.74,14.43,29.60,44.30,26.40,43.44,41.55,15.30,19.40,31.38,7.82,23.30,13.76,5.38,5.88,10.58,4.80,6.62,
07-19-2016 11:45:01,61.28,43.38,50.25,62.47,27.51,47.89,65.03,41.83,46.69,31.83,34.86,75.45,13.66,21.49,32.84,33.08,143.90,19.10,41.08,37.99,17.18,75.78,43.24,94.18,55.68,14.43,29.64,44.33,26.40,43.49,41.48,15.32,19.40,31.41,7.82,23.31,13.72,5.38,5.89,10.58,4.80,6.62,
07-19-2016 11:50:01,61.23,43.35,50.21,62.44,27.50,47.91,65.02,41.80,46.66,31.80,34.87,75.42,13.65,21.56,32.80,33.09,143.81,19.11,41.11,37.99,17.16,75.80,43.22,94.06,55.73,14.40,29.60,44.36,26.45,43.48,41.46,15.26,19.42,31.40,7.80,23.23,13.75,5.40,5.90,10.57,4.80,6.62,
07-19-2016 11:55:01,61.26,43.37,50.24,62.53,27.54,47.92,65.02,41.84,46.69,31.86,34.92,75.42,13.65,21.54,32.83,33.09,143.98,19.12,41.08,38.05,17.16,75.79,43.28,93.92,55.66,14.44,29.57,44.39,26.40,43.51,41.47,15.28,19.43,31.43,7.84,23.33,13.80,5.40,5.91,10.59,4.80,6.64,
07-19-2016 12:00:01,61.20,43.36,50.20,62.56,27.48,47.88,64.98,41.77,46.64,31.80,34.92,75.38,13.64,21.53,32.79,33.10,143.88,19.11,40.97,37.94,17.11,75.70,43.25,93.88,55.68,14.42,29.56,44.30,26.39,43.46,41.47,15.26,19.41,31.39,7.81,23.28,13.70,5.39,5.90,10.57,4.78,6.62,
07-19-2016 12:05:01,61.21,43.34,50.20,62.56,27.47,47.84,64.93,41.77,46.64,31.76,34.90,75.33,13.61,21.53,32.76,33.10,143.99,19.11,40.96,37.98,17.08,75.74,43.23,93.88,55.68,14.40,29.54,44.33,26.39,43.44,41.37,15.25,19.40,31.32,7.80,23.24,13.68,5.39,5.91,10.56,4.78,6.61,
07-19-2016 12:10:01,61.19,43.33,50.19,62.58,27.47,47.80,64.95,41.75,46.60,31.75,34.86,75.30,13.61,21.53,32.76,33.08,143.95,19.09,40.95,37.96,17.11,75.76,43.23,93.88,55.68,14.41,29.53,44.33,26.36,43.44,41.38,15.23,19.39,31.31,7.80,23.17,13.66,5.38,5.89,10.56,4.77,6.61,
07-19-2016 12:15:01,61.20,43.34,50.19,62.59,27.47,47.83,64.95,41.76,46.58,31.70,34.88,75.26,13.61,21.51,32.76,33.10,144.05,19.06,40.92,38.00,17.13,75.74,43.27,93.94,55.67,14.41,29.54,44.29,26.30,43.50,41.33,15.22,19.39,31.30,7.80,23.11,13.55,5.38,5.89,10.56,4.78,6.60,
07-19-2016 12:20:01,61.26,43.37,50.24,62.58,27.44,47.87,65.01,41.73,46.59,31.69,34.89,75.37,13.60,21.48,32.77,33.10,143.81,19.05,40.92,37.97,17.13,75.88,43.23,94.03,55.64,14.40,29.56,44.27,26.31,43.49,41.26,15.19,19.39,31.30,7.80,23.10,13.54,5.37,5.87,10.56,4.76,6.59,
