2016-07-14,RY,TD,BNS,CNI,SU,BCE,BMO,ENB,TRP,CNQ,BAM,CM,MFC,ABX,SLF,TU,CP,GG,RCI,MGA,POT,FNV,TRI,AGU,AEM,CVE,PBA,GIB,SLW,QSR,IMO,CPG,SJR,GIL,ECA,VRX,TCK,KGC,AUY,CCJ,EGO,BBRY
09:45:00,61.85,43.81,50.64,62.55,28.54,48.52,65.44,42.34,47.14,31.98,35.20,76.46,13.75,20.46,32.66,33.53,141.62,19.03,41.47,37.43,17.02,74.63,42.81,94.22,54.81,14.15,30.85,44.76,25.29,42.03,41.42,15.78,19.48,31.35,7.92,21.92,14.36,5.26,5.74,10.79,4.84,6.75,
09:50:00,61.72,43.77,50.57,62.47,28.51,48.60,65.40,42.25,47.18,31.88,35.28,76.39,13.70,20.47,32.71,33.46,141.40,18.98,41.48,37.19,16.99,74.55,42.85,94.58,54.95,14.09,30.73,44.62,25.28,42.10,41.73,15.77,19.48,31.28,7.92,21.70,14.25,5.28,5.73,10.80,4.82,6.71,
09:55:00,61.75,43.80,50.58,62.57,28.55,48.58,65.36,42.27,47.24,31.94,35.33,76.41,13.72,20.58,32.76,33.49,141.59,19.07,41.51,37.42,17.09,74.98,42.89,94.76,55.16,14.16,30.78,44.77,25.53,42.15,41.69,15.85,19.48,31.36,7.99,22.01,14.35,5.34,5.79,10.84,4.86,6.72,
10:00:00,61.87,43.85,50.65,62.55,28.57,48.59,65.43,42.28,47.21,31.98,35.35,76.58,13.74,20.61,32.75,33.46,141.60,19.02,41.51,37.63,17.17,75.10,42.90,95.08,55.00,14.17,30.80,44.85,25.56,42.14,41.52,15.85,19.40,31.33,7.99,22.36,14.34,5.33,5.81,10.82,4.87,6.74,
10:05:00,61.87,43.86,50.66,62.71,28.60,48.60,65.43,42.33,47.18,32.08,35.35,76.51,13.77,20.74,32.77,33.51,142.49,19.09,41.59,37.68,17.23,75.50,42.91,95.51,55.36,14.18,30.80,44.89,25.68,42.18,41.52,15.94,19.41,31.41,8.02,22.40,14.38,5.37,5.83,10.84,4.89,6.74,
10:10:00,61.90,43.87,50.67,62.79,28.60,48.63,65.45,42.26,47.14,32.04,35.40,76.67,13.78,20.66,32.79,33.60,142.68,19.05,41.63,37.68,17.27,75.59,42.98,95.33,55.38,14.17,30.80,44.98,25.65,42.16,41.53,15.90,19.39,31.44,8.01,22.58,14.37,5.36,5.83,10.86,4.87,6.74,
10:15:00,61.80,43.81,50.62,62.68,28.49,48.60,65.40,42.13,47.15,31.90,35.43,76.62,13.78,20.62,32.81,33.62,142.60,19.04,41.59,37.65,17.19,75.61,42.98,95.24,55.23,14.13,30.79,44.88,25.63,42.13,41.56,15.87,19.38,31.39,7.95,22.54,14.32,5.35,5.82,10.86,4.86,6.72,
10:20:00,61.78,43.78,50.57,62.63,28.46,48.51,65.30,42.04,47.09,32.02,35.39,76.61,13.76,20.61,32.76,33.65,142.03,19.03,41.62,37.65,17.12,75.62,42.96,95.09,55.23,14.12,30.80,44.83,25.59,42.04,41.62,15.85,19.34,31.43,7.98,22.39,14.27,5.35,5.80,10.84,4.84,6.68,
10:25:00,61.83,43.80,50.63,62.69,28.44,48.57,65.31,42.11,46.98,31.98,35.41,76.67,13.77,20.68,32.77,33.66,142.03,19.12,41.69,37.75,17.12,75.72,43.02,94.96,55.44,14.13,30.78,44.80,25.76,41.96,41.57,15.86,19.35,31.42,7.98,22.42,14.32,5.37,5.83,10.87,4.86,6.67,
10:30:00,61.82,43.80,50.56,62.62,28.41,48.56,65.30,42.06,47.11,31.95,35.39,76.60,13.75,20.82,32.78,33.66,141.95,19.21,41.71,37.73,17.17,76.02,43.01,95.25,55.63,14.13,30.78,44.81,25.93,42.04,41.50,15.86,19.34,31.40,7.98,22.40,14.34,5.40,5.86,10.85,4.89,6.66,
