date,XOM,JNJ,GE,T,WFC,JPM,CHL,WMT,PG,VZ,PFE,F,KO,CVX,NVS,BABA,V,FMX,ORCL,HD,DIS,MS,PM,TM,UBS,PEP,IBM,NVO,BAC,UL,UN,TSM,UNH,RIO,C,HSBC,BMY,TOT,MCD,MA,CVS,SNY,MMM,DCM,BP,GSK,ABBV,TJX,SAP,AGN,NKE,UPS,RY,NTT,HON,UTX,ABEV,SNP,BA,TD,LLY,ACN,UNP,LMT,RAI,USB,DEO,AZN,D,LOW,LYG,DHR,MTU,CL,BBL,CAJ,SAN,GS,SPG,AXP,AIG,BNS,LFC,BT,DOW,TMO,DD,EPD,CB,TWX,OXY,NEE,BLK,E,ABT,DUK,NGG,CRM,COP,EMC
15-01-02,92.83,104.52,25.06,33.87,54.7,62.49,58.49,85.9,90.44,46.96,31.33,15.36,42.14,112.58,92.25,103.6,66.26,85.4,44.33,103.43,93.75,38.71,81.02,125.67,17.09,94.44,162.06,42.49,17.9,39.98,38.72,22.28,100.78,45.72,54.26,47.07,59.51,51.16,93.26,85.68,95.1,45.52,164.06,14.65,38.12,42.37,65.89,67.96,70.04,259.13,47.52,110.38,68.55,25.63,100.23,115.04,5.95,80.21,129.95,46.91,70.06,88.84,118.61,193.31,31.91,44.83,112.24,35.2,77.49,67.7,4.65,85.72,5.51,69.04,42.72,31.68,8.42,194.41,185.34,93.02,56.11,55.88,9.97,30.66,45.59,128.12,73.71,36.83,114.44,84.93,80.65,106.69,356.73,34.98,44.9,84.05,69.94,59.24,68.92,29.83
15-01-05,90.29,103.79,24.6,33.55,53.2,60.55,57.62,85.65,90.01,46.57,31.16,14.76,42.14,108.08,92.45,101,64.79,82.97,43.59,101.26,92.38,37.5,80.41,123.37,16.6,93.73,159.51,42.41,17.38,39.23,37.74,21.74,99.12,44.43,52.55,45.99,58.58,48.06,92.23,83.27,94.16,44,160.36,14.44,36.1,41.91,64.65,67.2,67.2,256.69,46.75,108.17,67.1,25.16,98.32,113.12,5.84,80.29,129.05,45.87,69.37,87.34,114.6,189.29,31.6,43.75,111.06,34.93,76.55,66.08,4.52,84.87,5.37,68.53,40.74,31.19,7.93,188.34,186.1,90.56,55,54.67,9.7,29.88,44.18,126.36,71.72,34.4,112.57,83.24,77.66,105.56,347.5,31.96,44.91,82.84,69.35,58.17,65.64,29.24
15-01-06,89.81,103.28,24.07,33.6,52.09,58.98,56.7,86.31,89.6,47.04,31.42,14.62,42.46,108.03,91.67,103.32,64.38,84.57,43.14,100.95,91.89,36.42,81.1,122.1,16.41,93.02,156.07,41.9,16.86,39.03,37.64,21.36,98.92,44.96,50.7,45.32,58.48,47.66,92.4,83.09,94.23,45.11,158.65,14.5,35.83,41.68,64.33,66.87,65.68,255.17,46.48,107.46,66.25,25.4,98.09,111.52,6.06,79.04,127.53,44.91,69.72,86.71,112.23,188.4,31.72,43.17,109.08,34.08,76.16,66.23,4.38,84.29,5.25,67.81,40.53,31.01,7.78,184.53,191.28,88.63,54.22,53.67,9.43,29.3,43.47,125.18,70.89,33.59,111.58,82.3,77,105.97,342.1,32.08,44.4,84.2,68.01,57.2,62.93,28.68
15-01-07,90.72,105.56,24.08,33.17,52.4,59.07,59.57,88.6,90.07,46.19,31.85,15.04,42.99,107.94,92.07,102.13,65.24,85.3,43.15,104.41,92.83,36.94,81.71,125.17,16.69,95.74,155.05,42.21,16.94,39.45,38.15,21.67,99.93,45.38,51.17,45.67,59.24,48.33,94.01,84.22,95.93,44.68,159.8,14.62,35.92,42.11,66.93,68.24,65.09,265.23,47.44,108.46,66.24,25.45,98.8,112.73,6.16,80.84,129.51,44.76,69.23,88.53,112.85,190.83,32.23,43.55,110.27,34.04,76.47,68.2,4.39,84.8,5.25,68.35,41.01,31.09,7.9,187.28,194.8,90.3,54.48,53.8,9.62,29.78,43.4,128.93,72.31,34.02,113.17,83.17,77.01,106.94,349.34,32.3,44.76,84.47,69.95,56.93,63.35,28.75
15-01-08,92.23,106.39,24.37,33.5,53.56,60.39,60.62,90.47,91.1,47.18,32.5,15.42,43.51,110.41,95.27,105.03,66.11,86.92,43.41,106.72,93.79,37.49,82.94,127.58,16.65,97.48,158.42,42.84,17.29,40.18,38.96,21.81,104.7,45.69,51.94,45.82,60.72,49.63,94.36,85.53,97.97,45.4,163.63,14.94,36.73,43.19,67.63,68.6,66.13,268.96,48.53,110.41,66.61,26.13,100.6,114.65,6.19,81.52,131.8,44.99,70.87,89.88,117.08,195.13,32.76,43.87,111.72,34.54,77.37,69.64,4.44,86.11,5.27,69.28,42.03,31.45,7.35,190.27,194.52,91.58,54.24,54.2,9.72,30.08,44.48,130.27,74.53,34.44,115,85.49,77.69,107.59,353.42,33.09,45.68,84.81,70.37,58.59,64.93,29.29
15-01-09,92.1,104.94,24.03,33.4,52.68,59.34,60.95,89.35,90.25,46.76,32.65,15.21,43.03,108.21,96.12,103.02,65.13,87.04,43.39,104.89,94.25,36.88,82.72,126.08,16.54,96.82,159.11,43.21,16.98,39.85,38.57,21.2,103.72,45.53,50.78,45.58,60.32,48.64,93.21,84.44,97.92,44.55,161.62,15.54,36.58,42.8,65.78,67.75,65.03,268.68,48,109.6,65.28,26.48,98.93,114.02,6.28,80.02,131.54,44.3,69.93,89.78,114.98,195.02,32.49,42.96,110.89,34.72,76.5,68.33,4.43,85.53,5.22,68.6,41.98,31.07,6.88,187.35,196.57,90.42,53.32,53.08,9.74,29.74,44.41,129.75,73.5,34.32,113.37,84.21,77.54,106.64,349.23,32.27,45.2,84.93,69.97,58.16,64.92,29.68
15-01-12,90.33,104.58,23.98,33.49,52.05,58.83,61.04,90.02,89.92,47.08,32.77,15.22,42.64,105.88,95.48,101.62,65,86.28,43.27,104.42,94.46,36.37,83.05,126.04,16.38,96.42,156.44,43.7,16.68,40.46,39.15,20.79,102.55,44.57,50.38,45.62,62.18,48.45,93.01,83.36,97.2,44.92,160.74,15.52,36.05,42.93,65.76,67.4,67.7,272.28,47.93,109.64,64.15,26.49,98.45,114.45,6.32,79.53,130.87,43.49,69.42,89.51,113.97,194.47,32.82,42.56,111.85,35.4,76.5,67.85,4.41,84.47,5.22,68.26,41.27,31.11,6.91,185.07,196.76,89.5,52.36,51.8,9.7,30.04,44.15,128.5,74.41,32.69,112,84.05,74.95,106.37,346.93,32.18,45.58,85.01,70.03,57.73,63.07,28.94
15-01-13,90,104.76,23.86,33.49,51.85,58.84,63.26,89.31,90.3,47.18,32.44,15.21,42.63,104.2,96.36,100.77,65.2,86.96,42.93,103.73,95.19,36.03,83.1,126.41,16.59,96.35,156.81,43.69,16.45,40.63,39.24,21.05,103.07,43.88,50.02,45.71,63.12,48.52,92.83,83.55,97.24,45.09,160.62,15.48,35.96,42.91,63.39,67.16,66.89,269.9,47.5,110.11,64.13,26.56,99.15,114.34,6.37,80.9,131.17,43.41,69.38,89.83,111.83,194.35,33.07,42.1,112.33,35.38,76.44,67.86,4.41,84.35,5.26,68.73,40.87,31.62,6.98,184.93,196.89,89.23,51.87,51.78,9.77,30.12,43.61,128.34,73.14,31.85,112.17,85.16,74.97,106.79,347.98,32.53,44.61,85.47,70.19,57.97,62.44,28.65
15-01-14,89.74,104,23.78,33.33,51.25,56.81,62.18,86.61,89.99,46.97,32.48,15.11,42.56,103.9,96.81,99.58,63.89,86.49,43.06,102.64,94.23,35.21,83.42,125.82,16.48,96.67,155.8,44.05,16.04,40.93,39.59,21.06,103.33,42.95,49.05,45.24,62.95,48.68,91.54,83.46,97.33,44.8,159.84,15.98,35.67,42.85,63.7,66.23,66.97,266.42,46.86,109.37,63.33,27.33,98.69,113.52,6.41,80.35,130.38,42.34,69.76,88.78,111.36,193.23,33.28,41.34,111.78,35.63,76.45,67.39,4.42,83.02,5.21,68.45,39.66,31.74,6.96,180.23,198.63,87.07,51.38,51.67,9.73,30.64,43.43,126.2,72.95,32.45,109.85,82.39,75.48,107.45,345.75,32.11,44.28,85.69,69.29,57.25,62.62,28.14
15-01-15,88.96,102.49,23.58,33.26,50.72,54.99,62.68,87.38,89.86,47.1,32.4,14.86,42.38,102.67,100.58,96.31,63.28,84.31,42.63,101.01,94.35,34.58,82.82,126.78,16.53,96.67,154.57,44.17,15.2,41.3,40.03,22.89,104.46,43.1,47.23,45.26,61.63,48.95,91.38,82.25,97.17,45,159.66,16.2,35.73,42.91,62.89,65.28,66.88,263.75,46.4,109.29,62.79,27.5,97.11,113.52,6.36,80.01,130.14,41.72,69.74,88.17,110.8,192.37,33.62,40.94,113.81,35.65,77.17,66.35,4.44,82.03,5.2,68.32,40.99,32.19,6.96,178.49,200.07,85.88,50.4,51.27,10.1,30.54,43.31,124.13,73.15,32.89,109.82,82.42,75.99,107.04,342.45,32.33,43.95,86.76,69.36,55.11,61.41,27.81
