date,^GSPC,^GSPTSE,^FTSE,^GDAXI,^FCHI,^N225,^HSI,^IRX
2000-01-03,1455.219971,8413.799805,6930.200195,6750.759766,5917.370117,nan,17369.630859,5.27
2000-01-04,1399.420044,8202.599609,6665.899902,6586.950195,5672.02002,19002.859375,17072.820312,5.27
2000-01-05,1402.109985,8119.399902,6535.899902,6502.069824,5479.700195,18542.550781,15846.719727,5.27
2000-01-06,1403.449951,8114.200195,6447.200195,6474.919922,5450.109863,18168.269531,15153.230469,5.24
2000-01-07,1441.469971,8429.400391,6504.799805,6780.959961,5539.609863,18193.410156,15405.629883,5.22
2000-01-10,1457.599976,8602.50,6607.700195,6925.52002,5646.120117,nan,15848.150391,5.23
2000-01-11,1438.560059,8442.599609,6518.899902,6891.25,5613.899902,18850.919922,15862.099609,5.27
2000-01-12,1432.25,8360.00,6532.799805,6912.810059,5582.50,18677.419922,15714.200195,5.28
2000-01-13,1449.680054,8417.900391,6531.50,6955.97998,5633.240234,18833.289062,15633.959961,5.22
2000-01-14,1465.150024,8357.50,6658.200195,7173.220215,5787.439941,18956.550781,15542.230469,5.25
2000-01-17,nan,8479.299805,6669.50,7258.899902,5842.779785,19437.230469,15574.55957,nan
2000-01-18,1455.140015,8589.700195,6504.600098,7072.120117,5672.950195,19196.570312,15789.200195,5.23
2000-01-19,1455.900024,8635.099609,6445.50,7091.040039,5649.459961,18897.75,15275.339844,5.35
2000-01-20,1445.569946,8682.900391,6348.700195,7112.660156,5709.740234,19008.009766,15215.30957,5.30
2000-01-21,1441.359985,8634.900391,6346.299805,6992.75,5681.319824,18878.089844,15108.410156,5.30
2000-01-24,1401.530029,8458.799805,6379.799805,6931.990234,5690.859863,19056.710938,15167.549805,5.33
2000-01-25,1410.030029,8505.50,6274.100098,6809.640137,5597.50,18895.529297,15103.040039,5.40
2000-01-26,1404.089966,8582.599609,6375.600098,6969.370117,5646.319824,19111.189453,15427.719727,5.41
2000-01-27,1398.560059,8645.799805,6441.00,7126.129883,5688.350098,19209.720703,15917.80957,5.41
2000-01-28,1360.160034,8390.400391,6375.600098,7066.600098,5731.049805,19434.779297,16185.94043,5.47
2000-01-31,1394.459961,8481.099609,6268.50,6835.600098,5659.810059,19539.699219,15532.339844,5.53
2000-02-01,1409.280029,8535.299805,6290.899902,7050.459961,5773.419922,19423.380859,15653.860352,5.55
2000-02-02,1409.119995,8769.50,6302.799805,7171.950195,5946.859863,19578.910156,15789.820312,5.50
2000-02-03,1424.969971,8894.400391,6324.299805,7354.259766,6149.669922,19786.419922,15968.120117,5.43
2000-02-04,1424.369995,9209.200195,6185.00,7444.609863,6275.720215,19763.130859,nan,5.49
2000-02-07,1424.23999,9156.00,6118.600098,7296.319824,6203.580078,19945.429688,nan,5.47
2000-02-08,1441.719971,9300.799805,6285.799805,7549.879883,6297.660156,19868.880859,16228.730469,5.52
2000-02-09,1411.709961,9255.200195,6315.399902,7629.109863,6271.600098,20007.769531,16819.460938,5.49
2000-02-10,1416.829956,9321.00,6279.799805,7709.27002,6207.52002,19710.019531,16845.169922,5.50
2000-02-11,1387.119995,9156.700195,6193.299805,7611.549805,6287.009766,nan,17380.300781,5.48
2000-02-14,1389.939941,9314.50,6068.600098,7644.799805,6268.319824,19556.460938,17188.960938,5.46
2000-02-15,1402.050049,9356.099609,6005.200195,7396.129883,6092.629883,19367.830078,16688.160156,5.58
2000-02-16,1387.670044,9428.599609,6147.399902,7490.319824,6046.27002,19599.179688,17043.390625,5.55
2000-02-17,1388.26001,9463.50,6209.299805,7580.529785,6154.959961,19791.400391,16981.230469,5.57
2000-02-18,1346.089966,9295.50,6165.00,7573.779785,6062.720215,19789.029297,16599.160156,5.57
2000-02-21,nan,9231.200195,6081.600098,7590.529785,5967.279785,19543.75,16322.370117,nan
2000-02-22,1352.170044,9194.900391,6014.700195,7607.939941,5963.310059,19390.580078,16255.169922,5.60
2000-02-23,1360.689941,9315.00,6144.100098,7698.970215,6031.25,19519.550781,16376.790039,5.64
2000-02-24,1353.430054,9214.200195,6086.700195,7640.529785,6078.779785,19571.439453,17058.660156,5.64
2000-02-25,1333.359985,9141.200195,6198.00,7738.680176,6188.640137,19817.880859,17200.980469,5.62
2000-02-28,1348.050049,9223.400391,6099.600098,7587.129883,6102.72998,19720.099609,16984.439453,5.66
2000-02-29,1366.420044,9129.00,6232.600098,7644.549805,6190.959961,19959.519531,17169.439453,5.64
2000-03-01,1379.189941,9411.599609,6364.899902,7727.930176,6256.319824,20081.669922,16843.589844,5.60
2000-03-02,1381.76001,9516.099609,6432.100098,7945.77002,6477.549805,20065.109375,16936.810547,5.59
2000-03-03,1409.170044,9462.900391,6487.50,7960.029785,6514.109863,19927.539062,17285.240234,5.63
2000-03-06,1391.280029,9580.900391,6567.799805,7975.779785,6545.97998,19796.349609,17758.759766,5.65
2000-03-07,1355.619995,9425.50,6466.50,8064.970215,6441.850098,19944.240234,17865.359375,5.65
2000-03-08,1366.699951,9281.099609,6411.200195,7987.00,6344.970215,19766.800781,17951.429688,5.67
2000-03-09,1401.689941,9413.700195,6532.100098,7949.149902,6423.430176,19662.330078,17637.029297,5.66
2000-03-10,1395.069946,9487.099609,6568.700195,7975.950195,6510.279785,19750.400391,17831.859375,5.68
2000-03-13,1383.619995,9461.599609,6466.899902,7693.850098,6336.930176,19189.929688,17096.679688,5.71
2000-03-14,1359.150024,9393.799805,6487.100098,7650.049805,6350.350098,19141.839844,16929.160156,5.71
2000-03-15,1392.140015,9293.599609,6447.00,7414.459961,6188.939941,19078.599609,16747.199219,5.69
2000-03-16,1458.469971,9488.00,6557.299805,7583.959961,6258.529785,19253.230469,16359.00,5.70
2000-03-17,1464.469971,9528.799805,6558.00,7710.919922,6304.279785,19566.320312,17082.990234,5.70
2000-03-20,1456.630005,9568.299805,6624.50,7872.379883,6352.509766,nan,17234.460938,5.73
2000-03-21,1493.869995,9651.400391,6617.899902,7807.930176,6320.870117,19602.359375,17199.980469,5.74
2000-03-22,1500.640015,9871.599609,6609.600098,7798.620117,6279.290039,19733.589844,17547.039062,5.74
2000-03-23,1527.349976,9990.099609,6594.600098,7694.779785,6268.310059,19704.599609,17715.580078,5.73
2000-03-24,1527.459961,10052.700195,6738.50,7932.419922,6364.259766,19958.080078,17784.570312,5.72
2000-03-27,1523.859985,10043.00,6687.200195,7892.490234,6450.850098,20281.029297,18292.859375,5.68
2000-03-28,1507.72998,9922.900391,6650.100098,7931.930176,6524.299805,20374.339844,18301.689453,5.71
2000-03-29,1508.52002,9702.200195,6598.799805,7864.759766,6505.47998,20706.650391,18096.369141,5.72
2000-03-30,1487.920044,9394.00,6445.200195,7644.890137,6313.819824,20441.50,17467.150391,5.71
2000-03-31,1498.579956,9462.400391,6540.200195,7599.390137,6286.049805,20337.320312,17406.539062,5.72
2000-04-03,1505.969971,9374.700195,6462.100098,7429.220215,6130.27002,20726.990234,16892.929688,5.69
2000-04-04,1494.72998,9141.799805,6427.00,7522.799805,6221.939941,20594.929688,nan,5.67
2000-04-05,1487.369995,9226.50,6379.299805,7330.77002,6036.939941,20462.769531,16318.44043,5.70
2000-04-06,1501.339966,9441.299805,6451.100098,7446.209961,6224.02002,20223.609375,16491.390625,5.71
2000-04-07,1516.349976,9465.200195,6569.899902,7522.200195,6308.040039,20252.810547,16941.679688,5.71
2000-04-10,1504.459961,9460.900391,6533.399902,7516.950195,6364.899902,20619.060547,16850.740234,5.69
2000-04-11,1500.589966,9358.00,6379.200195,7442.660156,6261.419922,20522.519531,16487.660156,5.67
2000-04-12,1467.170044,9047.700195,6350.799805,7443.069824,6238.700195,20833.210938,16577.089844,5.67
2000-04-13,1440.51001,8965.400391,6357.00,7449.060059,6264.339844,20526.419922,16352.55957,5.64
2000-04-14,1356.560059,8473.50,6178.100098,7214.830078,6065.709961,20434.679688,16142.759766,5.64
2000-04-17,1401.439941,8769.599609,5994.600098,7187.140137,6060.540039,19008.640625,14762.370117,5.64
2000-04-18,1441.609985,9069.50,6074.00,7196.490234,6147.439941,18969.519531,15278.320312,5.64
2000-04-19,1427.469971,9034.00,6184.899902,7216.709961,6166.459961,19086.619141,15427.200195,5.64
2000-04-20,1434.540039,8959.700195,6241.200195,7157.950195,6234.509766,18959.320312,15367.139648,5.62
2000-04-21,nan,nan,6241.200195,nan,nan,18252.679688,nan,nan
2000-04-24,1429.859985,8822.50,6241.200195,nan,nan,18480.150391,nan,5.60
2000-04-25,1477.439941,9108.400391,6283.00,7280.509766,6320.290039,18272.330078,15380.009766,5.63
2000-04-26,1460.98999,9378.00,6256.50,7388.549805,6390.870117,18134.310547,15227.389648,5.59
2000-04-27,1464.920044,9322.700195,6179.299805,7221.740234,6247.859863,18019.169922,15192.870117,5.58
2000-04-28,1452.430054,9347.599609,6327.399902,7414.680176,6419.720215,17973.699219,15519.299805,5.65
2000-05-01,1468.25,9527.299805,6327.399902,nan,nan,18403.080078,nan,5.67
