date,RY.to,TD.to,BNS.to,CNR.to,SU.to,BCE.to,BMO.to,ENB.to,TRP.to,CNQ.to,BAM-A.to,CM.to,ABX.to,CP.to,T.to,SLF.to,ATD-B.to,RCI-B.to,G.to,MG.to,FNV.to,WCN.to,POT.to,GIB-A.to,SLW.to,TRI.to,AEM.to,FFH.to,AGU.to,L.to,NA.to,PPL.to,QSR.to,IFC.to,FTS.to,MRU.to,DOL.to,CPG.to,SJR-B.to,VRX.to,IMO.to,CSU.to,POW.to,CTC-A.to,OTC.to,TCK-B.to,SAP.to,REI-UN.to,IPL.to,GWO.to,GIL.to,SNC.to,ARX.to,EMA.to,KEY.to,PWF.to,TOU.to,BPY-UN.to,HR-UN.to,THO.to,CCL-B.to,OCX.to,PEY.to,CIX.to,DGC.to,WN.to,ALA.to,VET.to,PSK.to,VII.to,IAG.to,CU.to,SRU-UN.to,H.to,BEP-UN.to,CAR-UN.to,RBA.to,PAA.to,FTT.to,FR.to,REF-UN.to,ACO-X.to,EMP-A.to,STN.to,QBR-B.to,MX.to,DH.to,CGX.to,IGM.to,ENF.to,MDA.to,CAD.to,AP-UN.to,WFT.to,WJA.to,TIH.to,MBT.to,WSP.to,NPI.to,BCB.to,FCR.to,MFI.to,LNR.to,PKI.to,AYA.to,TXG.to,TFI.to,FSV.to,CWB.to,BEI-UN.to,DSG.to,SJ.to,SCL.to,GRT-UN.to,CIG.to,CPX.to,HCG.to,NFI.to,PBH.to,MAG.to,CCA.to,LB.to,RUS.to,NWC.to,MST-UN.to,X.to,BYD-UN.to,EDV.to,MIC.to,OSB.to,WPK.to,CHE-U.to,UNS.to,KXS.to,ITP.to,NVU-UN.to,DII-B.to,ESL.to,AD.to,CXR.to,BAD.to,DOO.to,BNE.to,BBU-UN.to
2005-01-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,62.63865,nan,nan,nan,nan,nan,35.50002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.93,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.75,nan,19.30,nan,nan,nan,nan,nan,nan,58.50,92.40,nan,25.89,nan,nan,nan,nan,nan,nan,nan,13.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.81,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2005-01-04,63.799999,49.700001,41.049999,73.07,41.099998,28.75,57.599998,59.00,29.85,49.549999,40.97689,72.230003,28.57,41.299999,36.00,40.049999,35.74998,31.450001,17.26,99.900002,nan,nan,100.999984,7.92,3.64,nan,16.25,203.990005,20.40,71.849998,49.549999,13.57,nan,29.200001,70.50,24.009991,nan,16.73,10.795,19.700001,70.50,nan,31.00,nan,24.41,36.75,36.450001,17.700001,9.25,26.75,40.790001,58.02,17.889999,19.15,14.39,31.99,nan,nan,18.77,nan,18.90,19.60,46.509998,17.85,nan,109.099998,23.139999,20.120001,nan,nan,55.209999,60.509998,18.90,nan,19.30,14.85,39.75,19.00,35.00,1.94,17.50,58.55,92.97,26.40,25.55,21.91,nan,nan,36.889999,14.00,27.00,nan,13.65,49.849998,11.90,20.75,49.00,nan,14.13,29.84,18.50,15.20,15.05,21.699989,nan,nan,15.39,nan,26.40,18.15,2.30,6.38,12.01,36.81,19.600009,nan,31.25,nan,nan,1.06,25.629999,24.379999,15.50,28.25001,nan,53.900002,7.65,3.25,nan,12.30,103.000002,nan,28.25,nan,11.14,nan,41.330002,8.71,nan,nan,17.300011,nan,25.00,nan
2005-01-05,63.799999,49.810001,41.200001,71.800003,40.259998,29.00,57.720001,58.610001,30.15,49.599998,40.05281,72.00,28.00,40.549999,35.299999,40.18,36.39,30.90,17.190001,97.599998,nan,nan,95.249971,7.81,3.55,nan,16.15,201.199997,19.60,71.00,49.509998,13.25,nan,29.48,68.160004,24.009991,nan,17.01,10.675,19.33,69.899998,nan,30.75,nan,24.01,35.150002,35.900002,17.74,9.11,26.549999,41.50,57.399988,17.73,19.049999,14.15,31.370001,nan,nan,18.700001,nan,18.70,18.99,47.450001,17.799999,nan,109.300003,22.690001,20.129999,nan,nan,55.349998,60.950001,18.50,nan,19.33,14.89,39.60999,18.02,34.169998,1.88,17.90,58.50,93.00,25.98,26.00,21.030001,nan,nan,36.389999,13.80,27.00,nan,13.61,48.299999,11.95,21.25,48.50,nan,14.00,28.91,18.80,15.10,15.20,21.84999,nan,nan,15.30,nan,26.68,18.360001,2.15,6.05,11.66,36.81,20.350003,nan,31.799999,nan,nan,1.04,25.50,24.01,15.71,28.949999,nan,52.099998,7.73,3.10,nan,11.80,101.999998,nan,29.889999,nan,11.00,nan,42.849998,8.52,nan,nan,16.74999,nan,25.35,nan
2005-01-06,63.50,49.369999,40.799999,71.160004,39.299999,29.280001,57.450001,58.389999,29.799999,48.75,40.33867,71.809998,27.59,39.849998,36.200001,40.00,36.19998,31.799999,17.01,97.199997,nan,nan,92.989981,7.80,3.48,nan,15.95,198.990005,18.049999,70.980003,48.970001,13.11,nan,29.25,68.07,24.09999,nan,16.75,10.525,19.57,68.51001,nan,30.299999,nan,25.93,34.049999,35.450001,17.610001,8.94,26.35,41.700001,56.00001,17.42,19.15,14.20,31.200001,nan,nan,18.280001,nan,18.40,18.90,46.299999,17.549999,nan,106.50,22.68,19.75,nan,nan,54.599998,60.00,18.21,nan,19.22,14.70,38.949989,18.00,34.50,1.85,17.950001,58.01,92.10,25.73,26.10,20.99,nan,nan,36.099998,13.45,27.40,nan,13.41,47.00,11.75,20.60,49.02,nan,14.00,28.870001,19.00,15.10,14.55,21.939991,nan,nan,15.24,nan,25.83,18.35,2.18,6.15,11.84,36.81,20.350003,nan,31.00,nan,nan,1.04,25.50,23.950001,15.05,29.00001,nan,52.50,7.73,3.19,nan,11.67,106.000004,nan,29.00,nan,10.75,nan,43.00,8.70,nan,nan,16.89999,nan,25.25,nan
2005-01-07,63.299999,49.23,40.580002,71.019997,40.200001,29.889999,57.75,58.310001,29.90,50.00,40.13854,71.559998,27.299999,39.849998,36.700001,40.310001,36.15,32.00,17.08,96.50,nan,nan,95.499988,7.62,3.48,nan,16.00,198.009995,18.200001,70.93,48.50,13.10,nan,29.190001,69.010002,24.09999,nan,17.299999,10.74,20.15,69.50001,nan,29.50,nan,25.33,33.799999,34.349998,17.75,8.85,26.25,40.849998,57.00,17.799999,19.719999,14.25,31.00,nan,nan,18.360001,nan,18.60,18.629999,46.950001,17.290001,nan,108.989998,23.16,19.85,nan,nan,53.509998,59.580002,18.25,nan,19.05,14.56,38.849999,18.15,34.02,1.80,18.030001,57.00,91.50,25.700001,26.90,21.440001,nan,nan,35.900002,13.40,27.76,nan,13.50,46.00,11.85,21.25,49.150002,nan,13.91,30.00,19.17,15.30,14.50,21.699989,nan,nan,15.25,nan,25.25,18.290001,2.11,6.02,12.58,36.81,20.399991,nan,28.940001,nan,nan,1.07,25.299999,24.040001,14.65,28.730009,nan,51.490002,7.70,3.15,nan,11.89,106.000004,nan,28.950001,nan,11.02,nan,43.299999,8.52,nan,nan,16.70001,nan,25.15,nan
2005-01-10,62.650002,48.599998,40.029999,68.75,40.599998,29.700001,57.150002,58.990002,30.25,50.00,39.14797,70.800003,27.00,39.00,36.25,39.900002,36.28998,31.92,16.90,95.50,nan,nan,91.500029,7.60,3.48,nan,15.76,199.00,18.75,69.949997,48.41,13.11,nan,30.00,69.00,23.75001,nan,17.40,10.255,19.549999,69.26001,nan,29.60,nan,25.32,32.900002,34.959999,17.879999,8.90,26.26,40.599998,56.889988,17.879999,19.90,14.39,30.74,nan,nan,18.700001,nan,18.60,18.799999,46.599998,17.43,nan,107.75,23.120001,20.00,nan,nan,54.00,60.02,18.40,nan,19.05,14.70,39.24999,18.15,33.700001,1.55,18.00,57.35,91.50,25.969999,26.92,21.07,nan,nan,35.439999,13.40,27.700001,nan,13.55,46.25,12.24,20.950001,49.09,nan,13.90,29.26,19.260001,15.40,14.40,21.65001,nan,nan,15.42,nan,25.25,18.299999,2.12,6.00,12.86,36.81,20.399991,nan,31.00,nan,nan,1.05,25.25,23.90,15.00,29.00001,nan,51.950001,7.56,3.19,nan,11.97,105.100002,nan,28.950001,nan,10.95,nan,44.00,8.50,nan,nan,16.79001,nan,25.139999,nan
2005-01-11,62.599998,49.080002,39.740002,69.720001,40.169998,29.450001,57.00,58.869999,30.129999,50.00,39.29107,71.199997,27.530001,39.650002,36.060001,39.549999,36.30,32.00,17.15,94.699997,nan,nan,92.97999,7.55,3.44,nan,15.85,200.539993,18.74,69.940002,48.389999,13.15,nan,29.940001,68.75,23.90001,nan,17.639999,10.475,19.75,69.549992,nan,29.51,nan,24.98,33.349998,35.00,17.780001,8.95,26.209999,42.00,57.24999,18.00,19.700001,14.50,30.700001,nan,nan,18.50,nan,18.53,19.35,46.599998,17.370001,nan,108.260002,23.030001,20.040001,nan,nan,53.900002,60.400002,18.21,nan,19.08,14.60,38.849999,18.35,34.639999,1.78,18.00,56.65,91.53,25.889999,27.10,21.59,nan,nan,35.950001,13.32,27.65,nan,13.60,46.00,12.25,21.50,49.099998,nan,14.10,29.73,19.00,15.10,14.95,21.32001,nan,nan,15.75,nan,25.41,18.50,2.21,5.95,13.00,36.81,20.399991,nan,30.90,nan,nan,1.06,24.50,23.98,15.20,29.099999,nan,51.50,7.57,3.25,nan,12.08,106.009998,nan,28.860001,nan,10.75,nan,44.00,8.75,nan,nan,16.50,nan,25.09,nan
2005-01-12,62.860001,48.66,39.849998,68.25,40.02,29.790001,57.02,58.939999,30.25,49.610001,38.81486,71.110001,27.629999,39.529999,35.860001,39.00,36.00,31.75,17.16,92.00,nan,nan,90.999988,7.55,3.40,nan,16.10,199.00,18.200001,70.540001,48.490002,13.29,nan,29.85,69.00,23.90001,nan,17.65,10.415,19.35,69.650007,nan,29.200001,nan,24.66,34.549999,34.400002,17.799999,8.90,26.32,41.16,56.949989,17.91,19.60,14.59,30.35,nan,nan,18.799999,nan,18.50,19.200001,46.200001,17.10,nan,109.239998,22.940001,20.02,nan,nan,54.25,61.200001,18.16,nan,18.90,14.44,38.00001,18.75,33.810001,1.71,18.02,57.20,92.94,25.40,27.56,21.50,nan,nan,35.490002,13.12,27.950001,nan,13.78,46.98,12.92,21.719999,48.16,nan,13.98,29.40,19.15,15.00,15.16,21.75,nan,nan,15.65,nan,25.25,18.43,2.05,5.95,13.40,36.81,20.00,nan,31.40,nan,nan,1.04,24.35,23.85,14.89,29.15001,nan,52.799999,7.80,3.30,nan,11.99,105.00,nan,28.75,nan,10.32,nan,43.759998,8.60,nan,nan,17.00001,nan,25.00,nan
2005-01-13,62.509998,48.43,39.650002,67.699997,41.00,29.620001,56.59,58.82,30.450001,51.900002,38.01465,70.150002,26.76,38.759998,36.110001,38.799999,35.89998,32.00,16.799999,91.209999,nan,nan,90.500041,7.70,3.38,nan,15.58,200.00,18.50,70.419998,48.509998,13.25,nan,29.75,68.349998,23.79999,nan,17.50,10.375,19.15,70.20999,nan,29.00,nan,23.90,34.049999,34.599998,17.73,8.95,26.24,41.34,57.009991,18.059999,19.620001,14.50,30.15,nan,nan,18.450001,nan,18.49,19.00,46.349998,17.50,nan,108.309998,22.93,20.15,nan,nan,54.009998,60.50,18.21,nan,19.20,14.45,38.49999,18.219999,33.549999,1.78,17.85,57.05,97.35,24.549999,27.76,21.299999,nan,nan,35.290001,13.30,27.75,nan,13.86,45.060001,13.30,21.58,48.43,nan,13.81,29.33,19.00,15.18,15.00,21.150001,nan,nan,15.76,nan,25.25,18.52,2.22,5.95,14.23,36.81,20.249991,nan,31.200001,nan,nan,1.06,24.700001,23.90,14.93,29.01,nan,53.00,7.98,3.28,nan,11.60,106.099997,nan,28.950001,nan,10.04,nan,43.099998,8.80,nan,nan,16.650001,nan,25.25,nan
2005-01-14,62.380001,48.32,39.349998,68.099998,41.900002,29.959999,56.34,58.950001,30.50,52.290001,38.8719,69.93,26.60,38.900002,35.299999,39.349998,38.23998,31.65,17.030001,93.099998,nan,nan,92.449977,7.41,3.29,nan,15.42,198.740005,18.50,70.480003,48.50,13.28,nan,29.950001,69.00,23.79999,nan,17.360001,10.35,18.40,70.400007,nan,28.700001,nan,25.00,34.450001,34.299999,17.950001,9.00,26.10,41.23,57.50001,18.41,19.74,14.58,30.17,nan,nan,18.719999,nan,18.20,18.809999,46.490002,17.15,nan,106.050003,22.93,20.290001,nan,nan,54.50,60.080002,18.30,nan,19.21,14.41,39.00,18.139999,33.849998,1.80,18.00,57.48,94.50,24.549999,27.90,21.48,nan,nan,35.07,13.30,27.75,nan,13.98,44.959999,13.00,21.74,48.139999,nan,13.85,29.50,19.00,15.03,15.00,21.30,nan,nan,16.049999,nan,25.02,18.50,2.11,6.05,13.71,36.81,20.979992,nan,30.85,nan,nan,1.03,25.00,23.889999,15.00,29.01,nan,53.900002,8.05,3.20,nan,11.75,105.00,nan,29.00,nan,9.88,nan,43.799999,8.94,nan,nan,16.85001,nan,25.10,nan
